start,end,duration,num_ions,ions
6247,6247,1,3,"2250, 2437, 2279"
6248,6263,16,4,"2289, 2250, 2437, 2279"
6264,6283,20,3,"2289, 2437, 2279"
6284,6358,75,4,"2289, 2250, 2437, 2279"
6359,6367,9,3,"2250, 2437, 2279"
6368,6368,1,4,"2289, 2250, 2437, 2279"
6369,6371,3,3,"2250, 2437, 2279"
6372,6419,48,4,"2289, 2250, 2437, 2279"
6420,6422,3,3,"2289, 2250, 2279"
6423,6428,6,4,"2289, 2250, 2437, 2279"
6429,6430,2,3,"2289, 2250, 2279"
6431,6459,29,4,"2289, 2250, 2437, 2279"
6460,6461,2,3,"2289, 2250, 2279"
6462,6479,18,4,"2289, 2250, 2437, 2279"
6480,6481,2,3,"2289, 2250, 2279"
6482,6489,8,4,"2289, 2250, 2437, 2279"
6490,6502,13,3,"2289, 2250, 2279"
6503,6523,21,4,"2289, 2250, 2437, 2279"
6524,6524,1,3,"2289, 2250, 2279"
6525,6542,18,4,"2289, 2250, 2437, 2279"
6543,6548,6,5,"2437, 2279, 2250, 2315, 2289"
6549,6562,14,4,"2289, 2250, 2437, 2279"
6563,6564,2,3,"2250, 2437, 2279"
6565,6566,2,4,"2289, 2250, 2437, 2279"
6567,6591,25,3,"2250, 2437, 2279"
6592,6595,4,4,"2289, 2250, 2437, 2279"
6596,6599,4,3,"2250, 2437, 2279"
6600,6605,6,4,"2289, 2250, 2437, 2279"
6606,6606,1,3,"2250, 2437, 2279"
6607,6611,5,4,"2289, 2250, 2437, 2279"
6612,6612,1,3,"2250, 2437, 2279"
6613,6660,48,4,"2289, 2250, 2437, 2279"
6661,6663,3,3,"2250, 2437, 2279"
6664,6726,63,4,"2289, 2250, 2437, 2279"
6727,6744,18,3,"2289, 2250, 2279"
6745,6747,3,4,"2289, 2250, 2315, 2279"
6748,6772,25,3,"2289, 2250, 2279"
6773,6798,26,4,"2289, 2250, 2315, 2279"
