ion_id,avg_nonpermeation_cosine,permeation_cosine
2433,-0.10258166173753995,0.7699828313986596
1313,-0.0784806908115558,0.5104037772261129
1460,-0.06795102692656933,0.9818175087189451
1387,-0.15163471132579015,0.9145691038902696
1316,-0.1305780967512349,0.9548863830777687
1308,-0.050349720762082724,0.8063306723388634
1320,-0.09442936943677252,0.9851156424456512
1309,-0.0865214247423463,0.9917189084903139
1403,-0.10374381191188665,0.9294237685382462
1469,-0.04192606222040765,0.9918104420297268
2436,0.0348595400962408,0.889221364727531
2434,-0.05800349859131269,0.8123674644228325
2444,0.14967570812684997,0.7049239596112777
2443,-0.03789464578682915,0.9413579276117917
1380,-0.04689918359004969,0.8512967972595105
1476,-0.060869059663633276,0.6204386761356414
1355,-0.026138567639296426,0.8591867052771691
1443,-0.07385861311485609,0.962425638348259
1341,-0.06957630506304903,0.9660394274310968
1465,-0.08287424205664967,0.949370114202696
1374,-0.06987549997837533,0.23388424362663351
