ion_id,frame,ionic_force,ionic_force_magnitude,ionic_motion_component,cosine_ionic_motion,radial_force,axial_force,before_closest_residue,closest_residue,next_closest_residue,contributions
2433,3631,"[-0.5100074112415314, 2.1183736622333527, -3.7063761949539185]",4.299399845430327,3.3104640662994025,0.7699828313986596,2.178902139235545,-3.7063761949539185,130,130,,"[{'ion': 1313, 'force': [-0.30617839097976685, 1.9138059616088867, -1.6903947591781616], 'magnitude': 2.571737289428711, 'distance': 11.362025260925293, 'directional_contribution': 1.3536479625365203}, {'ion': 1460, 'force': [-0.20382902026176453, 0.20456770062446594, -2.015981435775757], 'magnitude': 2.036559581756592, 'distance': 12.767929077148438, 'directional_contribution': 1.9568161976495122}]"
1313,3666,"[5.336649119853973, 0.34455977380275726, -9.397506475448608]",10.812570148778676,5.518776645458949,0.5104037772261129,5.347760771216416,-9.397506475448608,455,780,,"[{'ion': 1316, 'force': [0.4411103129386902, 0.020791510120034218, -1.5011932849884033], 'magnitude': 1.5647977590560913, 'distance': 14.565987586975098, 'directional_contribution': 1.0833693302727547}, {'ion': 1387, 'force': [1.0603179931640625, 0.020274614915251732, -2.5148849487304688], 'magnitude': 2.729346513748169, 'distance': 11.029090881347656, 'directional_contribution': 1.6547929387803724}, {'ion': 1460, 'force': [3.8352208137512207, 0.3034936487674713, -5.381428241729736], 'magnitude': 6.615194320678711, 'distance': 7.084312915802002, 'directional_contribution': 2.780614381738402}]"
1460,5131,"[0.9611110091209412, 1.400046467781067, -4.168585538864136]",4.501218710374659,4.419375340419151,0.9818175087189451,1.6981944776143032,-4.168585538864136,780,130,,"[{'ion': 1308, 'force': [1.0612798929214478, 1.444498062133789, -2.4021823406219482], 'magnitude': 2.9972269535064697, 'distance': 10.524687767028809, 'directional_contribution': 2.713012736925825}, {'ion': 1320, 'force': [-0.10016888380050659, -0.04445159435272217, -1.7664031982421875], 'magnitude': 1.7697994709014893, 'distance': 13.696418762207031, 'directional_contribution': 1.7063625740516983}]"
1387,4415,"[0.11436110734939575, 1.6295432336628437, -4.317601203918457]",4.6162939431245755,4.2219198148575225,0.9145691038902696,1.6335512276174682,-4.317601203918457,130,130,,"[{'ion': 1316, 'force': [-0.3461155891418457, 0.052372146397829056, -2.328737497329712], 'magnitude': 2.35490083694458, 'distance': 11.873608589172363, 'directional_contribution': 2.3470950127604313}, {'ion': 1460, 'force': [0.46047669649124146, 1.5771710872650146, -1.9888637065887451], 'magnitude': 2.5797455310821533, 'distance': 11.344376564025879, 'directional_contribution': 1.874824819083032}]"
1316,4994,"[-1.7338434010744095, 1.567792497575283, -9.935503959655762]",10.206783292851766,9.746318381369822,0.9548863830777687,2.337559893329499,-9.935503959655762,130,1105,,"[{'ion': 1308, 'force': [1.8541682958602905, 1.3925756216049194, -2.6088037490844727], 'magnitude': 3.490424633026123, 'distance': 9.752813339233398, 'directional_contribution': 2.756928193262113}, {'ion': 1320, 'force': [-0.1475171595811844, -0.04048118740320206, -2.020209789276123], 'magnitude': 2.0259931087493896, 'distance': 12.80118179321289, 'directional_contribution': 1.9999990256707776}, {'ion': 1460, 'force': [-3.4404945373535156, 0.21569806337356567, -5.306490421295166], 'magnitude': 6.327904224395752, 'distance': 7.243343830108643, 'directional_contribution': 4.989391188704489}]"
1308,5269,"[-4.253422260284424, 3.40257129073143, -12.931617259979248]",14.031957000767427,11.31439732265882,0.8063306723388634,5.446934212269578,-12.931617259979248,780,130,,"[{'ion': 1309, 'force': [-2.9148778915405273, -2.9359593391418457, -3.625190496444702], 'magnitude': 5.50076150894165, 'distance': 7.768866062164307, 'directional_contribution': 3.6428366128690968}, {'ion': 1320, 'force': [-1.0187950134277344, 6.049768924713135, -6.9975690841674805], 'magnitude': 9.306106567382812, 'distance': 5.972897052764893, 'directional_contribution': 5.528173576817856}, {'ion': 1403, 'force': [-0.3197493553161621, 0.288761705160141, -2.3088576793670654], 'magnitude': 2.3487117290496826, 'distance': 11.889242172241211, 'directional_contribution': 2.143387431225561}]"
1320,5399,"[0.6102482080459595, 0.2669351100921631, -8.384076476097107]",8.410493183248418,8.285308395500536,0.9851156424456512,0.6660759929791944,-8.384076476097107,130,1105,,"[{'ion': 1309, 'force': [-0.98553866147995, -3.2337822914123535, -1.1632522344589233], 'magnitude': 3.575162887573242, 'distance': 9.636539459228516, 'directional_contribution': 1.5595109336639525}, {'ion': 1469, 'force': [2.148010492324829, 3.888089656829834, -3.9567387104034424], 'magnitude': 5.948694705963135, 'distance': 7.470646381378174, 'directional_contribution': 3.458867802443282}, {'ion': 2436, 'force': [-0.5522236227989197, -0.3873722553253174, -3.264085531234741], 'magnitude': 3.3330559730529785, 'distance': 9.980395317077637, 'directional_contribution': 3.2669295057374788}]"
1309,5677,"[-0.5429822094738483, 0.7323366552591324, -13.132537484169006]",13.164144006715562,13.055130525549263,0.9917189084903139,0.9116724501931796,-13.132537484169006,780,780,,"[{'ion': 1380, 'force': [0.2080385684967041, -0.2713145911693573, -4.193719387054443], 'magnitude': 4.207633018493652, 'distance': 8.882804870605469, 'directional_contribution': 4.190613588897197}, {'ion': 1469, 'force': [-2.146965980529785, 2.0441834926605225, -3.3131890296936035], 'magnitude': 4.445826053619385, 'distance': 8.641572952270508, 'directional_contribution': 3.1642916264383114}, {'ion': 1476, 'force': [0.016993116587400436, -0.13155724108219147, -1.6357070207595825], 'magnitude': 1.641076922416687, 'distance': 14.223437309265137, 'directional_contribution': 1.6287261604187653}, {'ion': 2434, 'force': [-0.8504688143730164, -1.9593597650527954, -1.6954710483551025], 'magnitude': 2.727088212966919, 'distance': 11.033656120300293, 'directional_contribution': 1.5817235257638274}, {'ion': 2443, 'force': [2.2294209003448486, 1.050384759902954, -2.2944509983062744], 'magnitude': 3.3672142028808594, 'distance': 9.929643630981445, 'directional_contribution': 2.4897757954743494}]"
1403,5331,"[0.7527332156896591, 0.5244466662406921, -5.696695804595947]",5.770094859691177,5.362863309317337,0.9294237685382462,0.9174157180545093,-5.696695804595947,130,1105,,"[{'ion': 1309, 'force': [-0.5008364319801331, -1.207638144493103, -1.198835849761963], 'magnitude': 1.773819088935852, 'distance': 13.680891036987305, 'directional_contribution': 1.0259050877299867}, {'ion': 1320, 'force': [1.4149909019470215, 1.8132896423339844, -2.7240469455718994], 'magnitude': 3.565199851989746, 'distance': 9.649994850158691, 'directional_contribution': 2.8008792644006775}, {'ion': 1469, 'force': [-0.1614212542772293, -0.08120483160018921, -1.773813009262085], 'magnitude': 1.7829928398132324, 'distance': 13.645649909973145, 'directional_contribution': 1.5360788279912971}]"
1469,5887,"[-0.35831569135189056, -0.3594629615545273, -9.122485280036926]",9.136593535880259,9.061768873467344,0.9918104420297268,0.5075468011903285,-9.122485280036926,455,780,,"[{'ion': 1380, 'force': [1.6709095239639282, 0.2382316142320633, -1.9508068561553955], 'magnitude': 2.5796008110046387, 'distance': 11.344694137573242, 'directional_contribution': 2.0832717418677995}, {'ion': 1476, 'force': [0.1602437049150467, -0.41130489110946655, -2.2435944080352783], 'magnitude': 2.2866055965423584, 'distance': 12.04962158203125, 'directional_contribution': 2.251481462417558}, {'ion': 2434, 'force': [-0.808508574962616, -1.3590866327285767, -1.6529823541641235], 'magnitude': 2.2876086235046387, 'distance': 12.046979904174805, 'directional_contribution': 1.5868669552284673}, {'ion': 2443, 'force': [-1.3809603452682495, 1.1726969480514526, -3.275101661682129], 'magnitude': 3.7428011894226074, 'distance': 9.418259620666504, 'directional_contribution': 3.1401487072542023}]"
