ion_id,frame,ionic_force,ionic_force_magnitude,motion_component_ionic,cosine_ionic_motion,radial_force,axial_force,motion_vector
1311,927,"[2.3216717690229416, -4.106868974864483, -20.628201246261597]",21.160794390477193,19.728398346011534,0.9323089663821758,4.717682967281986,-20.628201246261597,"[-2.2994918823242188, 0.5042572021484375, -12.904212951660156]"
1314,636,"[-10.202427953481674, 2.3355605006217957, -13.089226961135864]",16.759243462584312,13.439860962583763,0.8019372111031621,10.466345063968081,-13.089226961135864,"[-0.3847198486328125, 3.2644996643066406, -7.966514587402344]"
1315,468,"[6.884363304823637, -0.6677769124507904, -26.049108266830444]",26.951742533919003,19.27489476225243,0.715163212100101,6.916674353878787,-26.049108266830444,"[-1.3509597778320312, 1.0165328979492188, -2.8091201782226562]"
1316,575,"[-1.493768572807312, -0.5376455634832382, -15.684765338897705]",15.764906312354883,12.68918978991681,0.8049010592579514,1.587579069224586,-15.684765338897705,"[1.3987808227539062, -1.3993339538574219, -2.9772796630859375]"
1305,728,"[-1.1011446192860603, -4.780804544687271, -15.60376238822937]",16.356833808393564,13.557454074076581,0.8288556473025683,4.905977126636967,-15.60376238822937,"[-1.7432327270507812, -0.9183807373046875, -2.0934371948242188]"
1312,2286,"[-9.06700611114502, -4.280459433794022, -12.548786878585815]",16.06253357686965,10.990067175504254,0.6842050865082802,10.026611231313268,-12.548786878585815,"[0.6265716552734375, 0.5151100158691406, -5.480247497558594]"
2279,6798,"[-0.4462702348828316, -3.1295942664146423, -4.608962416648865]",5.588922253261314,4.424784334269113,0.7917061883777521,3.1612525041378428,-4.608962416648865,"[-0.145843505859375, 0.3409233093261719, -5.72772216796875]"
2437,6726,"[6.546191334724426, 0.7706375010311604, -9.499602854251862]",11.56239410923736,8.021756905924963,0.6937799239619646,6.591396145644466,-9.499602854251862,"[-1.827850341796875, 1.8065948486328125, -9.088821411132812]"
2313,811,"[11.586913391947746, 21.075498804450035, -14.58558440208435]",28.127788469042482,-5.957297055903545,-0.2117940079953375,24.050638490669492,-14.58558440208435,"[-2.4939727783203125, -3.1328887939453125, -4.152076721191406]"
2176,2571,"[20.82941272854805, 6.704328078776598, -11.9968581199646]",24.954700045374867,10.077846014722853,0.4038456080978097,21.881783510584135,-11.9968581199646,"[-1.4011001586914062, 3.3614768981933594, -7.739112854003906]"
2229,1107,"[-6.9506968799978495, -0.7298440188169479, 0.5578199028968811]",7.011135603700916,0.29442786824826284,0.04199431944988275,6.988909743973999,0.5578199028968811,"[-0.7538299560546875, -3.707233428955078, -9.060928344726562]"
2289,6798,"[5.950943410396576, -6.47198486328125, -0.5388856828212738]",8.808559094621197,-8.74491248763208,-0.9927744587615945,8.792059800995672,-0.5388856828212738,"[-0.6727828979492188, 0.640533447265625, 0.15158843994140625]"
2252,2665,"[-4.778107762336731, 5.002146810293198, -5.830980092287064]",9.047215888707253,1.5782221908192975,0.17444285736446685,6.917498572477549,-5.830980092287064,"[-0.9119453430175781, -7.498706817626953, -8.830886840820312]"
2315,6798,"[6.898765102028847, 7.710427939891815, -3.8700839281082153]",11.046321041859906,8.395715907435138,0.7600463426347712,10.346190552528762,-3.8700839281082153,"[0.45375823974609375, 1.6934471130371094, 0.31752777099609375]"
2250,6798,"[-9.376790285110474, 4.0229626297950745, -1.2466453611850739]",10.279229009426443,-5.879289808321058,-0.571958247348077,10.203353584565706,-1.2466453611850739,"[0.1318817138671875, -0.0078582763671875, 0.2288360595703125]"
