frame,resid,pdb_label,com_to_sf_com_distance,min_atom_to_sf_com_distance,radial_distance,z_offset_from_sf
0,424,E152.C,8.521616570555777,7.6529702057669775,8.502501328824911,0.5546922903414213
1,424,E152.C,8.702482607836748,8.039587122620736,8.658817719010644,0.3675635994604818
2,424,E152.C,8.763006207380633,8.450916407883524,8.721939694269725,0.5707882818551155
3,424,E152.C,8.977019931778917,8.216192936086282,8.893394569405844,0.8452972850030562
4,424,E152.C,8.926749430009671,8.200020662131113,8.889675462478401,0.6512048087266322
5,424,E152.C,8.847443891013215,7.957582308355841,8.75263812241062,1.042666594365869
6,424,E152.C,8.718078431483448,8.040074935067118,8.698428026450284,0.5641996545407579
7,424,E152.C,8.829649444272123,8.18067075633867,8.786650112884379,0.7636769766725138
8,424,E152.C,9.009300583360059,8.222521472093998,8.992347599067712,0.4089920891746175
9,424,E152.C,8.791202469170436,8.112906841745884,8.770063132077649,0.47523501791819456
10,424,E152.C,8.977560471279956,8.032687370567675,8.882650109857728,0.8702146912915083
11,424,E152.C,8.920404209229394,8.320036000409443,8.856848050837238,0.6456193900512517
12,424,E152.C,9.025131314949997,8.417814516545999,9.006337515843562,0.3872264166894155
13,424,E152.C,8.826530278719645,8.216787722766382,8.75282498711452,0.825656035647711
14,424,E152.C,8.916436145515048,8.216054745882996,8.893348139381464,0.3168639724070914
15,424,E152.C,8.614086676924797,7.780598994646543,8.586922233286678,0.4497613153631761
16,424,E152.C,8.941559379391439,8.405228337044393,8.8791604899929,0.5885827439398099
17,424,E152.C,8.835446629829384,8.288192915390658,8.806517251826602,0.35971796412236756
18,424,E152.C,8.911210174709833,8.079488243078844,8.845382298366461,0.7335641302832983
19,424,E152.C,8.497479648652076,7.570664049299373,8.46559388172979,0.47795094445055497
20,424,E152.C,9.285921304957826,8.97706447347911,9.272097611549944,0.30456743803615893
21,424,E152.C,8.976243799767227,8.187314101743894,8.947594257078572,0.6016983145735821
22,424,E152.C,8.708813121170753,7.905776181445035,8.658094062734559,0.7650859406720656
23,424,E152.C,8.89541457674958,8.183113985128266,8.822558194943221,0.8207109032281892
24,424,E152.C,8.562463546040465,7.846862542502096,8.522341054756017,0.689122767654851
25,424,E152.C,8.652785503695759,7.917807625828297,8.610931649739264,0.7659107992695482
26,424,E152.C,8.790422366534319,8.139437371099971,8.783326317902842,0.3077220048758136
27,424,E152.C,8.908254716518572,8.337025368011888,8.859142800906065,0.7324572308779551
28,424,E152.C,8.76968297708878,8.09032169114278,8.736728348733424,0.716174563363353
29,424,E152.C,8.633445123902122,8.029772915269593,8.576062829203266,0.6893320776210174
30,424,E152.C,8.775903879941653,8.098925598922449,8.688627595464645,1.0479017460767892
31,424,E152.C,8.998455903065997,8.415031593201835,8.898345929583385,1.175101669969223
32,424,E152.C,8.973573007435476,8.425202154932366,8.90182951546172,0.6437753465051372
33,424,E152.C,8.728438702710204,7.965711530153305,8.623237454143093,1.0709818763870658
34,424,E152.C,8.77352191244191,8.263373339760786,8.66921965649516,1.0000324107775782
35,424,E152.C,8.615221365757053,7.894178908068543,8.584950994586366,0.574265086634
36,424,E152.C,8.671442348062078,8.001252934238861,8.57201790433769,0.9709256053615576
37,424,E152.C,8.719339236799337,7.94125633433252,8.683345141514923,0.573991908330342
38,424,E152.C,8.887017152349594,8.377845813523646,8.79975346278344,0.9286625368668666
39,424,E152.C,8.612063247318146,7.8657917153912225,8.578865027345355,0.6864135491318706
40,424,E152.C,8.868053052671604,8.20908598081066,8.798217375640226,0.7039343332214969
41,424,E152.C,8.728199312827304,8.087775235549882,8.673647026324161,0.7194306298863893
42,424,E152.C,8.813012267237367,8.524323370358605,8.72906900607275,1.0942511346504773
43,424,E152.C,9.014260695641486,8.349377332333853,8.930412939743308,0.8802028012710394
44,424,E152.C,8.515959604505534,7.994390259612853,8.40746090168675,0.89872399107918
45,424,E152.C,8.76745970471798,8.110999071431406,8.741763479895058,0.5401678972938555
46,424,E152.C,8.762456514036707,7.923294210217645,8.730054129711085,0.6153863557592558
47,424,E152.C,8.77516635249765,8.037130792409007,8.753686321868502,0.468727851870554
48,424,E152.C,8.825098487204261,7.994620453108844,8.782215734240385,0.6698797497916189
49,424,E152.C,8.848084685802455,8.027076334425571,8.828516053477056,0.3855899304505357
50,424,E152.C,8.779048057590057,7.880319687862612,8.75677701714809,0.5912245870027846
51,424,E152.C,8.897586574571633,8.507393478145298,8.884467372919193,0.5277928403197052
52,424,E152.C,8.992444994501719,8.702374166504573,8.966536573255437,0.6743478100606382
53,424,E152.C,8.641520699495734,7.846024212731321,8.628677502638215,0.402537249983439
54,424,E152.C,9.185426491439959,8.779423443769847,9.14535111402635,0.9488638032670309
55,424,E152.C,8.936870801283295,8.443791980083736,8.885727474325462,0.8734458282459485
56,424,E152.C,8.923182536478425,8.297956387455761,8.904120892081739,0.5130785060395056
