ion_id,start_frame,permeation_frame,permeation_cosine,avg_nonpermeation_cosine,empirical_p,total_cosines
1311,0,1661,0.78,-0.044,0.104,1662
1314,159,235,0.941,-0.011,0.059,236
1315,172,571,0.381,-0.048,0.268,413
1316,233,382,0.934,-0.009,0.055,217
1312,364,458,0.523,-0.081,0.229,226
2280,460,1091,0.888,-0.022,0.062,739
2299,524,805,0.95,-0.029,0.023,347
2203,774,849,0.917,0.027,0.053,359
2271,795,1120,0.645,-0.012,0.195,429
2313,863,1716,0.808,-0.05,0.086,930
2265,993,1000,0.571,0.038,0.299,146
2188,1121,1416,0.79,-0.029,0.12,434
2246,1203,1295,0.912,0.014,0.017,175
2241,1306,1331,0.205,0.119,0.504,130
2315,1320,1489,0.789,-0.003,0.112,187
2253,1392,1585,0.933,-0.021,0.044,271
2434,1537,1899,0.29,-0.029,0.353,535
2194,1591,1638,0.568,0.014,0.264,105
2197,1616,1811,0.984,-0.049,0.022,223
2295,1664,1842,0.799,-0.038,0.074,241
2201,1800,2151,0.913,-0.037,0.032,402
2296,1846,2079,0.372,-0.064,0.266,285
2182,1868,1878,0.658,-0.025,0.262,41
2308,1888,1940,0.857,-0.039,0.12,74
2171,1915,2065,0.691,-0.079,0.11,180
2230,1959,1988,0.878,-0.004,0.087,79
2327,1992,2343,0.994,-0.041,0.008,387
2193,2069,2113,0.994,-0.027,0.016,125
2202,2103,3680,0.338,-0.041,0.306,1652
2227,2124,2241,0.986,-0.073,0.02,146
2312,2186,2197,0.999,-0.021,0.025,78
2302,2218,2309,0.919,-0.055,0.036,164
2266,2257,2430,0.977,-0.077,0.018,225
2215,2316,2537,0.866,-0.021,0.069,261
2304,2347,2374,0.795,0.026,0.131,60
2249,2382,2385,0.862,0.042,0.093,42
2232,2413,2833,0.307,-0.063,0.289,455
2247,2472,2474,-0.647,0.004,0.838,67
2183,2518,4010,-0.036,-0.076,0.46,1540
2294,2548,2553,0.996,0.115,0.054,36
2224,2563,2605,0.988,0.014,0.046,64
2438,2691,2697,0.969,-0.0,0.036,136
2267,2705,2734,0.881,0.036,0.234,46
2291,2996,3008,0.752,0.005,0.156,191
2179,3249,3280,-0.462,-0.025,0.752,116
2167,3377,3394,0.76,-0.014,0.093,150
2305,3420,3861,0.855,-0.079,0.067,491
2228,3586,3600,0.94,0.008,0.038,181
2248,3672,3903,0.11,-0.072,0.401,266
2289,3875,4719,0.92,-0.055,0.048,912
2170,3903,4290,-0.393,-0.058,0.711,417
2269,4006,4047,0.95,-0.001,0.048,103
2439,4041,4907,0.264,-0.035,0.359,902
2263,4062,4062,0.956,0.058,0.083,23
2441,4402,4414,0.747,0.015,0.172,63
2256,4453,4508,0.741,-0.048,0.185,118
2217,4482,5470,0.448,-0.065,0.21,1019
2186,4532,4624,0.706,0.023,0.247,149
2178,4557,4577,0.906,0.012,0.163,48
2210,4690,4695,0.33,-0.035,0.361,35
2258,4880,5704,0.022,-0.031,0.459,851
2199,4897,5636,0.754,-0.028,0.099,758
2207,4918,5100,0.927,-0.023,0.049,205
2257,4977,5275,0.302,-0.07,0.301,358
2192,4991,4991,0.973,0.003,0.105,18
2177,5021,5030,0.942,-0.073,0.116,42
2290,5111,5124,0.806,-0.042,0.087,91
2297,5170,5223,0.667,-0.105,0.12,99
2169,5371,5477,0.969,-0.001,0.01,199
2212,5437,5791,0.767,-0.061,0.111,388
2314,5562,5858,0.969,-0.011,0.022,365
2229,5746,5837,0.421,-0.022,0.349,145
2285,5861,5872,0.594,-0.025,0.192,51
2239,5912,6040,0.942,-0.001,0.047,189
2442,5933,5964,0.949,0.057,0.074,53
2440,5985,6798,0.886,-0.016,0.083,870
2184,6079,6080,-0.069,0.011,0.559,33
2322,6095,6152,0.632,-0.005,0.241,82
2242,6152,6176,0.946,0.063,0.092,86
2311,6172,6643,0.652,-0.036,0.152,493
2307,6228,6231,0.514,0.037,0.3,49
2206,6248,6334,0.817,-0.091,0.1,109
2250,6278,6452,0.591,-0.04,0.228,205
2226,6410,6798,-0.299,-0.019,0.605,528
2309,6465,6466,0.928,-0.081,0.036,137
2282,6495,6503,0.874,0.031,0.091,43
2200,6516,6532,0.93,0.039,0.071,55
2264,6564,6582,0.817,-0.031,0.071,69
2443,6617,6737,0.93,-0.051,0.063,188
2189,6651,6798,-0.39,-0.083,0.614,183
